Location;Cell Number;SIM Activation Date;First Name;Last Name;Birthday
Witbank;+27732577687;25 06 2024;Musa;Jibela;26 11 2003
Soshanguve;+27733191788;01 06 2025;Musa;Nodlomo;20 10 1999
Krugersdorp;+27734011187;02 04 2025;Nobantu;Duze;27 07 1967
Durban;+27734762586;25 12 2024;Mandlakhe;Biyase;11 10 1970
Rustenburg;+27735515302;11 08 2023;Simphiwe;Ludonga;13 01 1943
Pretoria;+27736548736;23 07 2023;Sandra;Harper;23 09 1988
West Rand;+27736988792;24 05 2024;Hannah;Marquez;29 09 1966
Johannesburg;+27738031248;05 12 2023;Mandla;Gambu;03 08 1984
Pretoria;+27738452446;08 03 2025;Mthokozisi;Ximba;10 12 1998
West Rand;+27739126870;19 12 2024;Nancy;Baker;28 08 1973
Cape Town;+27739493210;05 01 2024;Gregory;Robinson;18 10 1997
Durban;+27740348711;25 09 2023;Olwethu;Mnomiya;25 05 1941
Durban;+27740837531;13 09 2023;Chelsea;Jackson;17 03 1989
Durban;+27743941564;21 01 2025;Sibonelo;Ntombela;08 05 1968
Pretoria;+27744810767;13 11 2024;Nomalanga;Ndima;22 08 2002
Ekurhuleni;+27745858892;02 07 2024;Nhlanhla;Mzizi;08 04 2006
Pretoria;+27746545449;26 05 2024;Gugu;Mthonti;06 09 1981
Cape Town;+27747009358;14 09 2024;Teresa;Hurst;25 03 1998
Vereeniging;+27748023717;13 06 2025;Sibusisiwe;Mazibuko;18 06 1943
Johannesburg;+27749758825;11 01 2025;Nokulunga;Gedeza;23 10 2000
Pretoria;+27750688826;30 09 2023;Thabisile;Gabhisa;08 09 2000
Durban;+27752176619;21 11 2024;Nonjabulo;Bayeni;01 07 2004
Pretoria;+27753154430;02 10 2023;Mark;Davies;22 05 1947
Vereeniging;+27754907568;27 09 2024;Bhekisisa;Sokhela;16 10 1977
Johannesburg;+27755830723;29 07 2024;Trevor;Campos;10 03 1998
Newcastle;+27756759873;06 10 2024;Mlungisi;Vundla;05 07 1958
Ekurhuleni;+27757293964;08 08 2023;Nobuhle;Mgilija;04 09 1952
West Rand;+27758159426;06 05 2024;Rachel;Hayes;17 06 1956
Cape Town;+27758744842;22 08 2024;Siphesihle;Mjwara;25 04 1988
Ekurhuleni;+27759277187;05 01 2024;Sihawukele;Makhanya;23 10 2005
Vereeniging;+27759568476;30 06 2024;Kendra;Galloway;18 10 1997
Durban;+27760905385;13 03 2025;Nathan;Harris;10 05 1950
Cape Town;+27761465695;06 10 2024;Gugulethu;Mahlase;21 08 1960
Cape Town;+27761704638;03 02 2024;Monica;Evans;27 01 1983
Port Elizabeth;+27763355406;15 01 2024;Heather;Thompson;17 03 1989
Ekurhuleni;+27764031374;07 06 2025;Lungile;Siyaya;20 11 1953
Ekurhuleni;+27765030894;05 06 2025;Jill;Miah;16 01 1981
Durban;+27766591547;18 09 2023;Thembisile;Lukhele;19 09 1943
Johannesburg;+27767639036;08 12 2024;Thalente;Galu;23 01 1993
Ekurhuleni;+27767973262;31 05 2024;Nonjabulo;Nhlanhlampofu;17 05 1968
Port Elizabeth;+27769640012;16 12 2024;Kirsty;May;02 06 1945
Ekurhuleni;+27770570082;10 09 2023;Nomusa;Hlomuka;29 02 2004
Johannesburg;+27770950073;06 03 2025;Georgia;Price;17 06 1956
Cape Town;+27771192228;09 01 2025;Mario;Smith;25 10 2002
Cape Town;+27771583203;29 10 2023;Musa;Sondisa;22 05 1999
Johannesburg;+27772909252;11 09 2024;Amahle;Cwalile;01 10 1947
Vereeniging;+27774230241;09 11 2024;Njabulo;Sikobi;26 07 1946
Cape Town;+27775448067;01 04 2024;Silondile;Guliwe;29 06 1990
Ekurhuleni;+27775957924;27 10 2023;Amanda;Martinez;27 06 1984
East London;+27776715116;01 01 2024;Siyabonga;Hlatshwayo;31 01 1980
Ekurhuleni;+27777008770;27 05 2025;Ashley;Bond;11 10 1945
Ekurhuleni;+27778478997;01 10 2024;Marcus;Morris;29 09 1968
Krugersdorp;+27779961344;31 05 2024;Langalibalele;Nyambose;22 11 1966
Durban;+27780470523;16 08 2023;Dean;Stevens;19 07 1991
Johannesburg;+27781311807;12 03 2025;Vincent;Read;28 09 1962
Cape Town;+27782561720;01 05 2024;Todd;Jones;08 05 1991
Pretoria;+27783253285;25 07 2023;Jacqueline;Sutton;13 06 1944
Ekurhuleni;+27785690836;28 05 2024;Bhekokwakhe;Mcwaye;06 02 1979
Ekurhuleni;+27786674547;10 03 2025;Mlungisi;Sokhela;06 04 1997
Cape Town;+27787961134;04 03 2024;Londisizwe;Gcwabe;04 11 1980
Ekurhuleni;+27788451269;17 04 2024;Amahle;Ndima;11 07 1966
Ekurhuleni;+27789810620;11 04 2024;Thabisile;Cebekhulu;23 03 1964
East London;+27790250774;08 06 2025;S'fiso;Ndawonde;03 02 1949
Pretoria;+27790732780;26 06 2024;Matthew;Davis;04 03 1946
Cape Town;+27790900159;01 08 2024;Julie;Marsden;08 10 1963
Boksburg;+27791923440;13 10 2024;Mandla;Dludlu;02 02 1998
Johannesburg;+27792348065;29 09 2024;Lucy;Wright;03 09 1994
Durban;+27793605906;07 11 2024;Zibuyile;Sithuli;21 04 2000
Pretoria;+27795246915;31 03 2025;Nozizwe;Lange;19 02 1954
Cape Town;+27795825108;05 08 2024;Jennifer;Lewis;25 07 1973
Johannesburg;+27796205527;12 02 2024;SimphiweyiNkosi;Msani;27 04 1978
Cape Town;+27796677912;09 12 2023;Allison;Obrien;20 03 2005
Johannesburg;+27797558478;04 09 2023;Randall;Rocha;25 10 1970
Ekurhuleni;+27798844055;26 10 2024;Mthokozisi;Sishiya;28 03 1977
Pretoria;+27799698904;26 10 2023;Jeffrey;Bright;07 04 1974
