Region,Cell Phone Number,SIM Activation Date,First Name,Last Name,Date of Birth,Source System Name
East London,27776715116,01 01 2024,Siyabonga,Hlatshwayo,31 01 1980,VMobile
Ekurhuleni,27777008770,27 05 2025,Ashley,Bond,11 10 1945,VMobile
Ekurhuleni,27778478997,01 10 2024,Marcus,Morris,29 09 1968,VMobile
Krugersdorp,27779961344,31 05 2024,Langalibalele,Nyambose,22 11 1966,VMobile
Durban,27780470523,16 08 2023,Dean,Stevens,19 07 1991,VMobile
Johannesburg,27781311807,12 03 2025,Vincent,Read,28 09 1962,VMobile
Cape Town,27782561720,01 05 2024,Todd,Jones,08 05 1991,VMobile
Pretoria,27783253285,25 07 2023,Jacqueline,Sutton,13 06 1944,VMobile
Ekurhuleni,27785690836,28 05 2024,Bhekokwakhe,Mcwaye,06 02 1979,VMobile
Ekurhuleni,27786674547,10 03 2025,Mlungisi,Sokhela,06 04 1997,VMobile
Cape Town,27787961134,04 03 2024,Londisizwe,Gcwabe,04 11 1980,VMobile
Ekurhuleni,27788451269,17 04 2024,Amahle,Ndima,11 07 1966,VMobile
Ekurhuleni,27789810620,11 04 2024,Thabisile,Cebekhulu,23 03 1964,VMobile
East London,27790250774,08 06 2025,S'fiso,Ndawonde,03 02 1949,VMobile
Pretoria,27790732780,26 06 2024,Matthew,Davis,04 03 1946,VMobile
Cape Town,27790900159,01 08 2024,Julie,Marsden,08 10 1963,VMobile
Boksburg,27791923440,13 10 2024,Mandla,Dludlu,02 02 1998,VMobile
Johannesburg,27792348065,29 09 2024,Lucy,Wright,03 09 1994,VMobile
Durban,27793605906,07 11 2024,Zibuyile,Sithuli,21 04 2000,VMobile
Pretoria,27795246915,31 03 2025,Nozizwe,Lange,19 02 1954,VMobile
Cape Town,27795825108,05 08 2024,Jennifer,Lewis,25 07 1973,VMobile
Johannesburg,27796205527,12 02 2024,SimphiweyiNkosi,Msani,27 04 1978,VMobile
Cape Town,27796677912,09 12 2023,Allison,Obrien,20 03 2005,VMobile
Johannesburg,27797558478,04 09 2023,Randall,Rocha,25 10 1970,VMobile
Ekurhuleni,27798844055,26 10 2024,Mthokozisi,Sishiya,28 03 1977,VMobile
Pretoria,27799698904,26 10 2023,Jeffrey,Bright,07 04 1974,VMobile
Port Elizabeth,700408017,23 12 2024,Roger,Pritchard,17 12 1998,BlueMobile
Tshwane,704465602,08 09 2024,Johw,Tran,22 09 2003,BlueMobile
Cape Town,700498064,05 10 2023,Sithembiso,Sabelo,02 01 1961,BlueMobile
eThekwini,708030287,12 05 2024,Linda,Mellor,16 07 1987,BlueMobile
Soshanguve,700536653,03 06 2025,Thabani,Phewa,20 10 1960,BlueMobile
Soshanguve,701422836,09 10 2024,Erin,Carlson,10 10 1965,BlueMobile
Cape Town,702126483,22 11 2023,Margaret,Wright,11 06 1971,BlueMobile
Johannesburg,702983213,26 02 2024,Bandile,Kweyama,18 08 2002,BlueMobile
Johannesburg,703402404,05 02 2024,Nomasonto,Ndandali,25 10 1970,BlueMobile
Johannesburg,704552601,24 02 2025,Jill,Young,09 09 1990,BlueMobile
Cape Town,705295490,24 01 2025,Thabisile,Mtolo,22 02 1984,BlueMobile
Cape Town,705781665,29 09 2023,Zinhle,Dumisa,05 03 1980,BlueMobile
Ekurhuleni,706347171,29 09 2024,Nozizwe,Hlela,21 02 2006,BlueMobile
Johannesburg,706908401,02 01 2025,Siphesihle,Dinabantu,10 11 2005,BlueMobile
Durban,707578628,29 09 2024,Thembile,Madonsela,17 04 1941,BlueMobile
Port Elizabeth,708162164,29 08 2024,Sihawukele,Shoyisa,01 04 1956,BlueMobile
Johannesburg,709138730,28 11 2023,Mlungisi,Ndwandwe,03 12 1968,BlueMobile
Kimberley,709654582,25 10 2023,Eric,Collins,08 01 1941,BlueMobile
East London,710361466,23 09 2024,Ross,Silva,23 03 1964,BlueMobile
Port Elizabeth,711312486,14 09 2023,Vusumuzi,Maphindela,07 04 1974,BlueMobile
Polokwane,711572067,04 10 2024,Mitt,Clark,10 04 1957,BlueMobile
Ekurhuleni,712113164,17 12 2023,Ndumiso,Mkhumbuzi,17 05 1986,BlueMobile
East Rand,712113164,17 12 2023,Ndumiso,Mkhumbuzi,17 05 1986,BlueMobile
Pretoria,712385865,23 11 2024,Nicole,Potter,23 11 1991,BlueMobile
Cape Town,712488797,07 03 2024,Amahle,Mdlanyoka,01 12 2004,BlueMobile
Johannesburg,712755488,07 09 2023,Mandla,Ngobisi,27 06 1963,BlueMobile
Johannesburg,712755488,07 09 2023,Manp,Ngobisi,27 06 1963,BlueMobile
Ekurhuleni,713173581,13 05 2025,Julo,Howard,06 03 1944,BlueMobile
Cape Town,714185136,15 04 2025,Thuthukile,Mawewe,25 06 1996,BlueMobile
Cape Town,715586306,01 04 2024,Sandile,Ndonga,07 10 1958,BlueMobile
Kaapstad,715586306,01 04 2024,Sandile,Ndonga,07 10 1958,BlueMobile
Pretoria,715983327,06 10 2024,Timothy,Davies,21 04 2000,BlueMobile
Ekurhuleni,717286902,31 12 2024,John,Ford,17 12 1957,BlueMobile
Cape Town,718061525,03 06 2025,Thembisile,Majola,16 10 1966,BlueMobile
Johannesburg,718983643,05 03 2025,Gemma,Ferguson,17 07 1959,BlueMobile
Johannesburg,719396045,11 12 2023,Nomathalente,Phingoshe,20 07 1958,BlueMobile
Johannesburg,719396045,11 12 2023,Nomu,Phingoshe,20 07 1958,BlueMobile
Ekurhuleni,719961318,23 01 2024,Ndumiso,Dinangwe,17 08 1979,BlueMobile
Cape Town,720029924,28 05 2024,Mnqo,Hlongwane,31 07 1974,BlueMobile
Johannesburg,720125760,19 06 2024,SimphiweyiNkosi,Sikobi,03 07 2002,BlueMobile
Johannesburg,720593040,18 06 2024,Sihawukele,Ndawo,06 05 1990,BlueMobile
Cape Town,720714523,30 06 2024,Sandra,Sellers,07 05 1980,BlueMobile
Klerksdorp,721198397,06 02 2025,Tomy,Warner,12 06 1965,BlueMobile
Durban,721340588,22 12 2023,Janice,Hopkins,20 04 1968,BlueMobile
Kaapstad,721345908,26 04 2024,Nomathalente,Gubhuza,18 10 1950,BlueMobile
Johannesburg,722330476,05 09 2023,Silondile,Khubisa,10 10 1979,BlueMobile
Gqeberha,722745553,26 05 2024,Katy,Smith,11 02 1985,BlueMobile
Ekurhuleni,722747624,20 04 2024,Lwandile,Msane,08 07 1995,BlueMobile
Ekurhuleni,722747624,20 04 2024,Lwandile,Msane,07 08 1995,BlueMobile
Soshanguve,723131974,08 07 2024,Lynda,Davison,02 01 1954,BlueMobile
Johannesburg,724493478,05 02 2024,Danielle,Johnson,22 04 1958,BlueMobile
Durban,725138892,08 05 2025,Thandazile,Gcaba,12 02 1963,BlueMobile
Durban,725463719,15 02 2024,Nomy,Ntshingila,17 09 1959,BlueMobile
Durban,726147995,09 11 2024,Thembekile,Gubhuza,04 03 1955,BlueMobile
Kaapstad,726176224,28 05 2025,Vanessa,Brooks,28 05 1969,BlueMobile
Welkom,726606265,27 03 2025,Zenzile,Dindi,15 10 1961,BlueMobile
Ekurhuleni,728019757,19 09 2024,Nozizwe,Mngwengwe,14 04 1976,BlueMobile
Springs,728547628,05 12 2023,Janw,Williams,02 06 1955,BlueMobile
Cape Town,728744137,04 05 2024,Simphiwe,Msamkhulu,20 08 1979,BlueMobile
Cape Town,729603611,08 03 2024,Debra,Smith,28 03 1977,BlueMobile
Johannesburg,729733969,02 10 2024,S'fiso,Galu,06 04 1948,BlueMobile
Durban,729820192,27 02 2024,Anna,Baker,16 05 1979,BlueMobile
eThekwini,729820192,27 02 2024,Anna,Baker,16 05 1979,BlueMobile
East London,730008139,13 12 2023,Brian,Thomas,06 02 1955,BlueMobile
Kaapstad,730744349,31 05 2024,Joshua,Booth,25 03 1991,BlueMobile
Johannesburg,732183258,05 02 2025,Anna,Baldwin,26 04 1987,BlueMobile
Cape Town,732960859,21 06 2024,Clare,Wilkins,03 02 1949,BlueMobile
Soshanguve,733191788,01 06 2025,Musp,Nodlomo,20 10 1999,BlueMobile
Johannesburg,734401930,09 01 2024,Douglas,Taylor,15 04 1990,BlueMobile
East London,734512854,01 01 2025,Lonw,Ximba,25 05 1992,BlueMobile
Bloemfontein,734580420,25 01 2025,Thembekile,Magononde,29 06 1993,BlueMobile
Johannesburg,734810654,11 10 2023,Nomcebo,Ngobisi,01 08 2003,BlueMobile
Ekurhuleni,735555294,09 09 2024,Nhlanhla,Ngazitha,08 12 1971,BlueMobile
Cape Town,736685370,03 05 2024,Thabani,Mavela,13 01 1965,BlueMobile
Rustenburg,737391314,26 09 2023,Thembile,Mahlinza,12 01 1981,BlueMobile
Ekurhuleni,738285947,13 08 2024,Katy,Jones,02 01 1977,BlueMobile
Pretoria,738452446,08 03 2025,Mthokozisi,Ximba,12 10 1998,BlueMobile
Durban,739163904,05 06 2025,Marcus,Page,11 06 1991,BlueMobile
Springs,739579306,24 05 2024,Thomas,Pierce,18 08 1957,BlueMobile
Springs,739579306,24 05 2024,Thow,Pierce,18 08 1957,BlueMobile
Ekurhuleni,739590700,27 10 2024,Kimberly,Perez,10 10 1941,BlueMobile
Benoni,740407777,02 01 2024,Nkazimulo,Mnyoni,04 08 1957,BlueMobile
Egoli,740678513,10 12 2024,Rita,Kaur,08 05 1954,BlueMobile
Cape Town,741042905,24 12 2023,Nhlanhla,Sibindi,14 07 1999,BlueMobile
Middelburg,741562035,21 10 2023,Thae,Ngidi,09 03 1994,BlueMobile
Durban,741797104,11 08 2023,Mandla,Njinji,28 03 1998,BlueMobile
Ekurhuleni,742020320,03 05 2025,Nothando,Shoyisa,04 12 1943,BlueMobile
Johannesburg,743282991,31 05 2025,Jabulani,Ngazitha,25 09 1952,BlueMobile
Klerksdorp,744036820,13 03 2025,Jesse,Garcia,05 07 1958,BlueMobile
Polokwane,745481138,05 06 2024,Londisizwe,Zikhungwini,19 04 1997,BlueMobile
Boksburg,746205845,14 08 2024,Mthokozisi,Sithole,04 09 1992,BlueMobile
Springs,746721111,28 01 2025,Sandile,Magononde,16 01 1942,BlueMobile
Cape Town,747092401,04 11 2024,Angela,Chapman,30 01 1940,BlueMobile
West Rand,748057905,02 04 2025,Eric,Smith,23 09 1988,BlueMobile
Pretoria,749852120,08 12 2023,Kelly,Wilkinson,23 10 2005,BlueMobile
Johannesburg,749895634,16 02 2025,Mine,Mondise,04 06 1955,BlueMobile
Johannesburg,749951541,15 05 2025,Nomagugu,Khabalidaka,27 02 1977,BlueMobile
Tshwane,750688826,30 09 2023,Thabisile,Gabhisa,09 08 2000,BlueMobile
Egoli,750711986,05 08 2023,Njai,Dumisa,29 01 1952,BlueMobile
Cape Town,750818959,17 07 2024,Nomathemba,Mgcaleka,04 01 1946,BlueMobile
Polokwane,753079529,23 04 2024,Thandeka,Mncube,04 06 1988,BlueMobile
Ekurhuleni,753445274,17 09 2023,Kathleen,John,28 12 1949,BlueMobile
Boksburg,753625790,02 11 2023,Chep,Ryan,25 10 1983,BlueMobile
Cape Town,753729547,04 12 2024,Zinhle,Mzileni,22 12 1984,BlueMobile
Cape Town,755026696,25 04 2025,Zenzele,Njinji,20 08 2006,BlueMobile
Egoli,755830723,29 07 2024,Trevor,Campos,10 03 1998,BlueMobile
Bloemfontein,756849299,13 09 2023,Nozizwe,Mzizi,14 03 2001,BlueMobile
Cape Town,757311186,17 02 2024,Thembeka,Mchunu,18 05 2007,BlueMobile
West Rand,758622777,08 06 2025,Thandiwe,Ndlangamandla,02 08 1975,BlueMobile
Durban,758773144,09 09 2023,Sihawukele,Vundla,24 02 1948,BlueMobile
Pretoria,759434978,10 09 2024,Marc,Edwards,29 09 1966,BlueMobile
Pretoria,759434978,10 09 2024,Maro,Edwards,29 09 1966,BlueMobile
Ekurhuleni,759967153,08 06 2025,Nonjabulo,Mzileni,08 05 1996,BlueMobile
Pretoria,761164231,13 08 2024,Louis,Morris,08 04 1976,BlueMobile
Johannesburg,761477359,16 08 2024,Linda,Wolfe,29 09 1962,BlueMobile
Johannesburg,761935085,19 11 2023,Andile,Nowanqa,12 02 1959,BlueMobile
Pretoria,763379489,08 08 2024,Khanyisile,Mpumuza,05 10 1954,BlueMobile
Welkom,764351821,26 11 2023,Zenzile,Mgwaba,17 05 1964,BlueMobile
Ekurhuleni,765054595,22 12 2023,Nobuhle,Mbembe,12 10 1964,BlueMobile
East Rand,765569160,08 03 2025,Mnqw,Dlamane,03 08 1994,BlueMobile
Cape Town,766307074,23 07 2023,Kayleigh,Burns,27 01 1983,BlueMobile
Cape Town,767240786,04 05 2025,Rhys,Davies,08 05 1987,BlueMobile
Vereeniging,767399287,16 06 2024,Dunw,Humphries,31 05 1965,BlueMobile
Johannesburg,767578966,15 01 2024,Mthokozisi,Myeni,17 08 1952,BlueMobile
Benoni,767768686,08 02 2024,Thembile,Nkundlande,26 12 1973,BlueMobile
Johannesburg,768138021,09 01 2024,Jeffrey,Nguyen,16 11 1991,BlueMobile
Cape Town,768158896,22 07 2023,Thembisile,Shelembe,03 08 1947,BlueMobile
Johannesburg,768741126,28 04 2024,Jeffery,Wagner,25 05 1941,BlueMobile
Port Elizabeth,769640012,16 12 2024,Kirt,May,02 06 1945,BlueMobile
Ekurhuleni,770570082,10 09 2023,Nomr,Hlomuka,29 02 2004,BlueMobile
West Rand,770953276,20 07 2023,Lwandile,Mhlanga,28 08 1989,BlueMobile
Vereeniging,771440865,24 07 2023,Ndumiso,Ngidi,04 03 1950,BlueMobile
Durban,771918275,16 04 2025,Nomthandazo,Ngema,04 08 1942,BlueMobile
Johannesburg,774160565,07 10 2024,Linda,Shaw,09 03 1996,BlueMobile
Durban,775025294,24 11 2023,Brandon,Jones,16 03 1947,BlueMobile
Vereeniging,775593486,09 08 2024,Bhekisisa,Khubisa,17 07 1994,BlueMobile
Johannesburg,776010419,21 07 2024,Sheila,Mitchell,15 07 1986,BlueMobile
Durban,776745900,15 11 2024,Nomvula,Mbhodwe,12 08 1987,BlueMobile
Benoni,777782468,11 09 2024,Mathew,Scott,22 02 1983,BlueMobile
Johannesburg,778724103,10 09 2024,Anthony,Taylor,28 12 1949,BlueMobile
Johannesburg,779152086,13 01 2025,Kart,Carter,18 04 1976,BlueMobile
Durban,779234888,07 08 2024,Zenzile,Sijadu,06 10 1994,BlueMobile
Ekurhuleni,780056550,11 03 2024,Nqobizitha,Khuzwayo,09 01 1991,BlueMobile
Johannesburg,781102199,13 01 2025,Thandeka,Mzila,28 03 1951,BlueMobile
Ekurhuleni,782499920,18 01 2024,Zibuyile,Mathula,15 02 1962,BlueMobile
East Rand,782499920,18 01 2024,Zibuyile,Mathula,15 02 1962,BlueMobile
Polokwane,782686315,20 07 2024,Thando,Mahlalela,21 08 1957,BlueMobile
Durban,783581201,19 12 2024,John,Taylor,26 07 1946,BlueMobile
Ekurhuleni,785690836,28 05 2024,Bheq,Mcwaye,06 02 1979,BlueMobile
Paarl,786740905,14 11 2024,Ricky,Price,08 05 1996,BlueMobile
Polokwane,788255410,15 06 2024,Londisizwe,Gotsholo,02 01 1943,BlueMobile
Polokwane,788255410,15 06 2024,Londisizwe,Gotsholo,01 02 1943,BlueMobile
Cape Town,788798367,21 09 2023,Langalibalele,Khomo,23 09 1954,BlueMobile
Egoli,789209708,05 02 2024,Dant,Burton,29 06 1993,BlueMobile
Ekurhuleni,789600650,27 10 2024,Sihawukele,Sothole,30 09 1957,BlueMobile
Ekurhuleni,789810620,11 04 2024,Thaq,Cebekhulu,23 03 1964,BlueMobile
Johannesburg,790328958,11 10 2023,Lungile,Ntanzi,28 05 1964,BlueMobile
Durban,790781178,19 09 2023,Mary,Anderson,10 10 1965,BlueMobile
Johannesburg,791549028,07 03 2024,Sphiwe,Mathula,13 02 1970,BlueMobile
Cape Town,792106918,15 03 2024,Ryan,Holland,21 06 1954,BlueMobile
Botshabelo,792624290,22 09 2024,Nomthandazo,Dlungwana,14 08 1941,BlueMobile
Durban,793605906,07 11 2024,Zibu,Sithuli,21 04 2000,BlueMobile
Johannesburg,795728959,09 11 2023,Stacey,Miller,30 04 1948,BlueMobile
Johannesburg,795728959,09 11 2023,Stau,Miller,30 04 1948,BlueMobile
Kimberley,795885602,09 09 2023,Bhekisisa,Mphephethwa,13 12 1943,BlueMobile
Bloemfontein,796509072,09 02 2025,Phillip,Johnston,10 03 1978,BlueMobile
Botshabelo,796967165,30 01 2024,Nomagugu,Ayize,22 08 2006,BlueMobile
Witbank,798062959,08 10 2023,Mandla,Yei,24 07 1965,BlueMobile
Egoli,798290960,27 07 2024,Veronica,Bowman,29 06 1977,BlueMobile
Johannesburg,798418621,23 01 2025,Simphiwe,Mbhense,18 08 1957,BlueMobile
East Rand,798844055,26 10 2024,Mthokozisi,Sishiya,28 03 1977,BlueMobile
Pretoria,799698904,26 10 2023,Jefy,Bright,07 04 1974,BlueMobile
Pretoria,27704465602,08 09 2024,John,Tran,,ArrowMobile
Durban,27708030287,12 05 2024,Linda,Mellor,,ArrowMobile
Ekurhuleni,27700594567,20 07 2023,Donald,Lowe,,ArrowMobile
Welkom,27701525711,17 07 2023,Sibongile,Gxabhashe,,ArrowMobile
Pietermaritzburg,27702796440,05 12 2024,Lewis,Evans,,ArrowMobile
Cape Town,27703027009,29 06 2024,Luyanda,Madinane,,ArrowMobile
Boksburg,27703678152,07 02 2025,Busisiwe,Hadebe,,ArrowMobile
Johannesburg,27704702209,02 05 2025,Andile,Sangweni,,ArrowMobile
Soshanguve,27705723746,29 11 2023,Bandile,Ngungunyana,,ArrowMobile
Pretoria,27705989494,27 10 2024,Thembeka,Sontuli,,ArrowMobile
West Rand,27706374564,31 03 2025,Bhekisisa,Ndiyema,,ArrowMobile
Ekurhuleni,27707033903,11 08 2024,Sibusisiwe,Mtolo,,ArrowMobile
Pietermaritzburg,27707724345,12 01 2024,Donald,Taylor,,ArrowMobile
Cape Town,27708208823,21 10 2024,Silondile,Nyawo,,ArrowMobile
East London,27709188166,13 08 2023,Nozizwe,Mawewe,,ArrowMobile
Bloemfontein,27709798813,23 09 2023,Thabisa,Mgenge,,ArrowMobile
Welkom,27710816964,14 08 2023,Nomcebo,Mntimande,,ArrowMobile
West Rand,27711513959,28 08 2023,Dumisani,Jobe,,ArrowMobile
Klerksdorp,27711688823,18 07 2024,Joan,Naylor,,ArrowMobile
Cape Town,27712488797,07 03 2024,Amahle,Mdlanyoka,,ArrowMobile
Polokwane,27713677185,17 04 2024,Simphiwe,Makhoba,,ArrowMobile
George,27714247268,25 02 2025,Mandla,Mtuswa,,ArrowMobile
Kaapstad,27715586306,01 04 2024,Sandile,Ndonga,,ArrowMobile
Thohoyandou,27716126226,07 10 2024,Dumisani,Musi,,ArrowMobile
Pretoria,27717601695,14 10 2024,Jason,Hahn,,ArrowMobile
Ekurhuleni,27718136627,24 05 2025,Ashley,Miller,,ArrowMobile
Ekurhuleni,27719015850,04 12 2023,Sihawukele,Nongalo,,ArrowMobile
Cape Town,27720029924,28 05 2024,Mnqobi,Hlongwane,,ArrowMobile
Johannesburg,27720593040,18 06 2024,Sihawukele,Ndawo,,ArrowMobile
Klerksdorp,27721198397,06 02 2025,Tom,Warner,,ArrowMobile
Cape Town,27721345908,26 04 2024,Nomathalente,Gubhuza,,ArrowMobile
Port Elizabeth,27722745553,26 05 2024,Katherine,Smith,,ArrowMobile
Ekurhuleni,27722747624,20 04 2024,Lwat,Msane,,ArrowMobile
Cape Town,27723484978,08 11 2023,Mlungisi,Jama,,ArrowMobile
Port Elizabeth,27724545371,11 07 2024,Zakhele,Mabika,,ArrowMobile
Durban,27725463719,15 02 2024,Nomathalente,Ntshingila,,ArrowMobile
Cape Town,27726176224,28 05 2025,Vanessa,Brooks,,ArrowMobile
Newcastle,27727246392,20 07 2023,Jabulani,Mafulela,,ArrowMobile
Springs,27728547628,05 12 2023,Janet,Williams,,ArrowMobile
Cape Town,27728781369,20 06 2024,Antony,Buckley,,ArrowMobile
Durban,27729619869,01 12 2024,Sibusisiwe,Andile,,ArrowMobile
Ekurhuleni,27729817295,04 09 2023,Amahle,Ngobese,,ArrowMobile
Durban,27729820192,27 02 2024,Annt,Baker,,ArrowMobile
Johannesburg,27730210420,18 11 2024,Amelia,Oliver,,ArrowMobile
Cape Town,27731726871,30 08 2023,Charlene,Randall,,ArrowMobile
Welkom,27732301840,09 04 2025,Jason,Ryan,,ArrowMobile
Vereeniging,27733128243,20 01 2024,Siphesihle,Mnangwe,,ArrowMobile
Newcastle,27733195138,14 03 2024,Amahle,Magujwa,,ArrowMobile
East London,27734512854,01 01 2025,Londiwe,Ximba,,ArrowMobile
East London,27734719249,13 06 2024,Chad,Welch,,ArrowMobile
West Rand,27735045002,27 05 2024,Siphesihle,Ngcolosi,,ArrowMobile
Durban,27736463373,26 12 2023,Gugu,Mnyandu,,ArrowMobile
