First_Name,Last_Name,Cell_Phone_Number,Region,Total_Revenue,Total_SMS_Count,Total_Voice_Call_Count,Reporting_Date_Start,Reporting_Date_End
Bhekisisa,Ndiyema,27706374564,West Rand,304.96,0,10,20250714,20250720
Michael,Galloway,27706833765,Witbank,197.21,0,15,20250714,20250720
Siphesihle,Dinabantu,27706908401,Johannesburg,347.47,1,11,20250714,20250720
Sibusisiwe,Mtolo,27707033903,Ekurhuleni,291.42,0,10,20250714,20250720
David,Nielsen,27707347477,Port Elizabeth,160.05,0,11,20250714,20250720
Thembile,Madonsela,27707578628,Durban,190.08,0,10,20250714,20250720
Donald,Taylor,27707724345,Pietermaritzburg,256.8,1,3,20250714,20250720
Nicole,Ward,27707848987,Pietermaritzburg,127.11,1,15,20250714,20250720
Linda,Mellor,27708030287,eThekwini,289.93,0,6,20250714,20250720
Sihawukele,Shoyisa,27708162164,Port Elizabeth,296.15,0,10,20250714,20250720
Silondile,Nyawo,27708208823,Cape Town,168.56,0,5,20250714,20250720
Andile,Mangethe,27709050860,Port Elizabeth,245.37,0,15,20250714,20250720
Mlungisi,Ndwandwe,27709138730,Johannesburg,175.02,0,8,20250714,20250720
Nozizwe,Mawewe,27709188166,East London,477.21,2,9,20250714,20250720
Carlos,Johnson,27709367729,Johannesburg,128.86,0,5,20250714,20250720
Eric,Collins,27709654582,Kimberley,438.41,1,8,20250714,20250720
Thabisa,Mgenge,27709798813,Bloemfontein,313.99,1,11,20250714,20250720
Londiwe,Mabhoko,27710091970,Cape Town,325.68,0,6,20250714,20250720
Ross,Silva,27710361466,East London,203.99,0,8,20250714,20250720
Nomcebo,Mntimande,27710816964,Welkom,152.38,1,8,20250714,20250720
Lungile,Shozi,27711214656,Benoni,299.74,0,8,20250714,20250720
Vusumuzi,Maphindela,27711312486,Port Elizabeth,244.37,0,7,20250714,20250720
Dumisani,Jobe,27711513959,West Rand,135.22,0,14,20250714,20250720
Mitchell,Clark,27711572067,Polokwane,421.47,1,15,20250714,20250720
Joan,Naylor,27711688823,Klerksdorp,246.27,1,12,20250714,20250720
Thando,Vilakazi,27711810165,Johannesburg,227.92,1,10,20250714,20250720
Ndumiso,Mkhumbuzi,27712113164,Ekurhuleni,144.11,0,9,20250714,20250720
William,Wilson,27712305098,Bloemfontein,162.9,0,9,20250714,20250720
Nicole,Potter,27712385865,Pretoria,164.06,0,6,20250714,20250720
Amahle,Mdlanyoka,27712488797,Cape Town,132.24,1,12,20250714,20250720
Mandla,Ngobisi,27712755488,Johannesburg,87.84,0,11,20250714,20250720
Julia,Howard,27713173581,Ekurhuleni,178.85,0,7,20250714,20250720
Simphiwe,Makhoba,27713677185,Polokwane,258.3,0,9,20250714,20250720
Gugu,Gcaleka,27714005115,Nelspruit,232.25,0,9,20250714,20250720
Thuthukile,Mawewe,27714185136,Cape Town,265.07,0,10,20250714,20250720
Mandla,Mtuswa,27714247268,George,358.64,0,13,20250714,20250720
Patrick,Ferrell,27714271871,Kimberley,394.61,0,13,20250714,20250720
Sandile,Ndonga,27715586306,Cape Town,372.49,1,9,20250714,20250720
Timothy,Davies,27715983327,Pretoria,184.43,0,12,20250714,20250720
Dumisani,Musi,27716126226,Thohoyandou,264.19,0,13,20250714,20250720
Guy,Kelly,27716808757,Rustenburg,69.31,0,10,20250714,20250720
John,Ford,27717286902,Ekurhuleni,218.11,0,5,20250714,20250720
Jason,Hahn,27717601695,Pretoria,340.49,1,8,20250714,20250720
Simphiwe,Nondlela,27717893653,Soshanguve,99.96,0,11,20250714,20250720
Thembisile,Majola,27718061525,Cape Town,434.38,1,11,20250714,20250720
Ashley,Miller,27718136627,Ekurhuleni,236.4,1,7,20250714,20250720
Michael,Cooper,27718448667,Durban,418.32,1,12,20250714,20250720
Gemma,Ferguson,27718983643,Johannesburg,466.84,1,10,20250714,20250720
Sihawukele,Nongalo,27719015850,Ekurhuleni,282.99,0,11,20250714,20250720
Nomthandazo,Mbuyise,27719118275,Ekurhuleni,410.32,1,9,20250714,20250720
Nomathalente,Phingoshe,27719396045,Johannesburg,213.94,0,9,20250714,20250720
Hannah,Young,27719729993,Johannesburg,296.92,0,15,20250714,20250720
Ndumiso,Dinangwe,27719961318,Ekurhuleni,116.68,0,8,20250714,20250720
Mnqo,Hlongwane,27720029924,Cape Town,280.1,1,13,20250714,20250720
SimphiweyiNkosi,Sikobi,27720125760,Johannesburg,152.54,0,9,20250714,20250720
Sihawukele,Ndawo,27720593040,Johannesburg,183.19,0,10,20250714,20250720
Sandra,Sellers,27720714523,Cape Town,100.91,0,9,20250714,20250720
Tomy,Warner,27721198397,Klerksdorp,729.44,3,15,20250714,20250720
Janice,Hopkins,27721340588,Durban,298.0,2,3,20250714,20250720
Nomathalente,Gubhuza,27721345908,Kaapstad,184.35,1,8,20250714,20250720
Silondile,Khubisa,27722330476,Johannesburg,797.18,3,11,20250714,20250720
Katy,Smith,27722745553,Gqeberha,152.96,0,12,20250714,20250720
Lwandile,Msane,27722747624,Ekurhuleni,258.48,0,11,20250714,20250720
Lynda,Davison,27723131974,Soshanguve,616.89,2,12,20250714,20250720
Mlungisi,Jama,27723484978,Cape Town,123.96,0,7,20250714,20250720
Thuthukile,Nyambose,27723956054,Bloemfontein,623.83,3,10,20250714,20250720
Danielle,Johnson,27724493478,Johannesburg,268.18,0,9,20250714,20250720
Zakhele,Mabika,27724545371,Port Elizabeth,457.67,2,8,20250714,20250720
Gugulethu,Hlophe,27724778385,Johannesburg,423.92,1,12,20250714,20250720
Thandazile,Gcaba,27725138892,Durban,740.19,2,17,20250714,20250720
Nomy,Ntshingila,27725463719,Durban,272.68,1,6,20250714,20250720
Thembekile,Gubhuza,27726147995,Durban,350.74,0,10,20250714,20250720
Vanessa,Brooks,27726176224,Kaapstad,313.52,2,10,20250714,20250720
Zenzile,Dindi,27726606265,Welkom,194.19,0,5,20250714,20250720
Jabulani,Mafulela,27727246392,Newcastle,405.58,1,11,20250714,20250720
Ruth,Griffiths,27727400477,Pretoria,273.42,1,12,20250714,20250720
Nozizwe,Mngwengwe,27728019757,Ekurhuleni,370.49,3,11,20250714,20250720
Janw,Williams,27728547628,Springs,361.09,2,10,20250714,20250720
Simphiwe,Msamkhulu,27728744137,Cape Town,319.18,2,3,20250714,20250720
Antony,Buckley,27728781369,Cape Town,318.85,0,11,20250714,20250720
Bhekizizwe,Mbokazi,27729448431,Pretoria,191.87,0,10,20250714,20250720
Debra,Smith,27729603611,Cape Town,344.78,0,9,20250714,20250720
Sibusisiwe,Andile,27729619869,Durban,339.73,1,7,20250714,20250720
Nomagugu,Nkomo,27729675831,West Rand,316.62,0,13,20250714,20250720
S'fiso,Galu,27729733969,Johannesburg,282.92,0,12,20250714,20250720
Amahle,Ngobese,27729817295,Ekurhuleni,138.82,0,7,20250714,20250720
Victor,Watts,27729817935,Cape Town,167.97,0,4,20250714,20250720
Anna,Baker,27729820192,Durban,129.45,1,11,20250714,20250720
Brian,Thomas,27730008139,East London,101.31,0,7,20250714,20250720
Amelia,Oliver,27730210420,Johannesburg,310.52,0,17,20250714,20250720
Joshua,Booth,27730744349,Cape Town,144.48,0,9,20250714,20250720
Charlene,Randall,27731726871,Cape Town,344.88,1,8,20250714,20250720
Mandlakhe,Gotsholo,27732045020,Welkom,237.71,0,6,20250714,20250720
Anna,Baldwin,27732183258,Johannesburg,310.99,0,11,20250714,20250720
Jason,Ryan,27732301840,Welkom,147.41,0,10,20250714,20250720
Musa,Jibela,27732577687,Witbank,287.53,1,7,20250714,20250720
Clare,Wilkins,27732960859,Cape Town,365.3,2,10,20250714,20250720
Siphesihle,Mnangwe,27733128243,Vereeniging,250.05,0,10,20250714,20250720
Musa,Nodlomo,27733191788,Soshanguve,201.78,0,10,20250714,20250720
Amahle,Magujwa,27733195138,Newcastle,246.18,1,10,20250714,20250720
Nobantu,Duze,27734011187,Krugersdorp,256.04,1,7,20250714,20250720
Douglas,Taylor,27734401930,Johannesburg,419.65,1,11,20250714,20250720
Lonw,Ximba,27734512854,East London,620.41,2,11,20250714,20250720
Thembekile,Magononde,27734580420,Bloemfontein,277.23,0,6,20250714,20250720
Chad,Welch,27734719249,East London,401.2,1,9,20250714,20250720
Mandlakhe,Biyase,27734762586,Durban,363.84,1,6,20250714,20250720
Nomcebo,Ngobisi,27734810654,Johannesburg,351.23,0,9,20250714,20250720
Siphesihle,Ngcolosi,27735045002,West Rand,240.36,0,7,20250714,20250720
Simphiwe,Ludonga,27735515302,Rustenburg,409.62,2,12,20250714,20250720
Nhlanhla,Ngazitha,27735555294,Ekurhuleni,223.8,0,6,20250714,20250720
Gugu,Mnyandu,27736463373,Durban,250.16,1,10,20250714,20250720
Sandra,Harper,27736548736,Pretoria,378.25,0,12,20250714,20250720
Thabani,Mavela,27736685370,Cape Town,131.54,0,8,20250714,20250720
Zinhle,Ndabansele,27736732237,Durban,151.89,0,7,20250714,20250720
Hannah,Marquez,27736988792,West Rand,200.35,0,4,20250714,20250720
Thembile,Mahlinza,27737391314,Rustenburg,388.59,1,7,20250714,20250720
Danielle,Sharp,27737674304,Klerksdorp,117.71,0,9,20250714,20250720
Mandla,Gambu,27738031248,Johannesburg,334.75,1,10,20250714,20250720
Katy,Jones,27738285947,Ekurhuleni,310.84,0,9,20250714,20250720
Lungile,Nzimande,27738312041,Ekurhuleni,309.61,2,4,20250714,20250720
Mthokozisi,Ximba,27738452446,Pretoria,271.79,1,10,20250714,20250720
Kyle,Brown,27738718563,Cape Town,235.07,1,12,20250714,20250720
Nancy,Baker,27739126870,West Rand,250.21,0,12,20250714,20250720
Marcus,Page,27739163904,Durban,531.2,1,12,20250714,20250720
Mcebisi,Dubandlela,27739228461,Durban,143.11,0,4,20250714,20250720
Gregory,Robinson,27739493210,Cape Town,228.26,0,9,20250714,20250720
Thomas,Pierce,27739579306,Springs,504.13,2,11,20250714,20250720
Kimberly,Perez,27739590700,Ekurhuleni,196.61,2,7,20250714,20250720
Mzamo,Sembathwa,27740027276,Johannesburg,366.83,1,7,20250714,20250720
Olwethu,Mnomiya,27740348711,Durban,363.47,0,11,20250714,20250720
Nkazimulo,Mnyoni,27740407777,Benoni,352.28,1,10,20250714,20250720
Rita,Kaur,27740678513,Egoli,563.12,1,13,20250714,20250720
Brittany,Johnson,27740715738,Johannesburg,255.15,1,3,20250714,20250720
Chelsea,Jackson,27740837531,Durban,251.51,0,11,20250714,20250720
Nhlanhla,Sibindi,27741042905,Cape Town,233.29,1,10,20250714,20250720
Thae,Ngidi,27741562035,Middelburg,153.16,0,4,20250714,20250720
Mandla,Njinji,27741797104,Durban,480.98,2,8,20250714,20250720
Nothando,Shoyisa,27742020320,Ekurhuleni,345.88,1,8,20250714,20250720
Jabulani,Ngazitha,27743282991,Johannesburg,454.64,2,9,20250714,20250720
William,Gonzalez,27743417384,Cape Town,236.03,0,12,20250714,20250720
Sibonelo,Ntombela,27743941564,Durban,124.2,1,4,20250714,20250720
Jesse,Garcia,27744036820,Klerksdorp,333.75,1,10,20250714,20250720
Guy,Alexander,27744146237,Durban,142.67,0,10,20250714,20250720
Nomalanga,Ndima,27744810767,Pretoria,200.73,0,8,20250714,20250720
Londisizwe,Zikhungwini,27745481138,Polokwane,206.6,1,11,20250714,20250720
Thomas,Reed,27745495609,Kimberley,372.62,1,6,20250714,20250720
Nhlanhla,Mzizi,27745858892,Ekurhuleni,311.62,0,6,20250714,20250720
Mthokozisi,Sithole,27746205845,Boksburg,293.74,0,8,20250714,20250720
Thandazile,Khathide,27746332321,Ekurhuleni,224.77,0,7,20250714,20250720
Gugu,Mthonti,27746545449,Pretoria,251.05,1,8,20250714,20250720
Sandile,Magononde,27746721111,Springs,144.12,0,5,20250714,20250720
Rachael,Pritchard,27746984621,Cape Town,143.91,0,4,20250714,20250720
Teresa,Hurst,27747009358,Cape Town,199.07,0,14,20250714,20250720
Angela,Chapman,27747092401,Cape Town,161.93,0,7,20250714,20250720
Njabulo,Ndabezitha,27747753873,Johannesburg,218.51,1,5,20250714,20250720
Sibusisiwe,Mazibuko,27748023717,Vereeniging,419.95,1,7,20250714,20250720
Eric,Smith,27748057905,West Rand,450.43,3,11,20250714,20250720
Sibonelo,Mavundla,27748419705,Cape Town,418.85,2,8,20250714,20250720
Nokulunga,Gedeza,27749758825,Johannesburg,215.39,1,10,20250714,20250720
Kelly,Wilkinson,27749852120,Pretoria,213.72,2,5,20250714,20250720
Mine,Mondise,27749895634,Johannesburg,220.2,0,12,20250714,20250720
Nomagugu,Khabalidaka,27749951541,Johannesburg,450.41,1,15,20250714,20250720
Mcebisi,Mshikela,27750383551,Cape Town,152.98,0,3,20250714,20250720
Thabisile,Gabhisa,27750688826,Pretoria,429.42,0,16,20250714,20250720
Njai,Dumisa,27750711986,Egoli,193.85,0,12,20250714,20250720
Nomathemba,Mgcaleka,27750818959,Cape Town,329.35,2,5,20250714,20250720
Luyanda,Kubheka,27751166645,Port Elizabeth,137.7,0,10,20250714,20250720
Nonjabulo,Bayeni,27752176619,Durban,273.34,2,9,20250714,20250720
Thandeka,Mncube,27753079529,Polokwane,658.45,3,15,20250714,20250720
Busisiwe,Nyanda,27753131305,Newcastle,328.76,1,10,20250714,20250720
Mark,Davies,27753154430,Pretoria,304.82,0,13,20250714,20250720
Kathleen,John,27753445274,Ekurhuleni,355.66,2,8,20250714,20250720
Chep,Ryan,27753625790,Boksburg,143.08,1,6,20250714,20250720
Zinhle,Mzileni,27753729547,Cape Town,151.8,0,7,20250714,20250720
Thabani,Jamile,27754088048,Nelspruit,481.95,1,11,20250714,20250720
Bhekisisa,Sokhela,27754907568,Vereeniging,261.58,0,8,20250714,20250720
Zenzele,Njinji,27755026696,Cape Town,239.73,0,10,20250714,20250720
Nomathalente,Nhlane,27755709632,Vereeniging,141.23,0,8,20250714,20250720
Trevor,Campos,27755830723,Johannesburg,332.93,1,10,20250714,20250720
Owethu,Mafulela,27756114668,East London,174.97,0,14,20250714,20250720
Mlungisi,Vundla,27756759873,Newcastle,649.0,2,14,20250714,20250720
Nozizwe,Mzizi,27756849299,Bloemfontein,139.69,0,13,20250714,20250720
Ryan,Taylor,27757073185,Krugersdorp,405.75,1,15,20250714,20250720
Nobuhle,Mgilija,27757293964,Ekurhuleni,127.8,0,9,20250714,20250720
Thembeka,Mchunu,27757311186,Cape Town,178.09,1,6,20250714,20250720
Carole,Matthews,27758098548,Witbank,197.08,0,12,20250714,20250720
Rachel,Hayes,27758159426,West Rand,482.49,1,7,20250714,20250720
Thandiwe,Ndlangamandla,27758622777,West Rand,281.38,2,7,20250714,20250720
Teresa,Walsh,27758744686,Cape Town,232.99,1,5,20250714,20250720
Siphesihle,Mjwara,27758744842,Cape Town,110.22,0,4,20250714,20250720
Sihawukele,Vundla,27758773144,Durban,135.94,1,9,20250714,20250720
Mthokozisi,Mthethwa,27758901102,Johannesburg,505.29,1,18,20250714,20250720
Sihawukele,Makhanya,27759277187,Ekurhuleni,249.53,1,13,20250714,20250720
Marc,Edwards,27759434978,Pretoria,143.92,0,8,20250714,20250720
Kendra,Galloway,27759568476,Vereeniging,56.78,0,5,20250714,20250720
Nonjabulo,Mzileni,27759967153,Ekurhuleni,255.32,0,8,20250714,20250720
Thabisa,Mgcaleka,27760632550,Durban,174.38,0,7,20250714,20250720
Nathan,Harris,27760905385,Durban,297.15,1,10,20250714,20250720
Louis,Morris,27761164231,Pretoria,124.39,0,8,20250714,20250720
Londisizwe,Ndaba,27761389488,Cape Town,226.54,0,8,20250714,20250720
Gugulethu,Mahlase,27761465695,Cape Town,226.85,0,13,20250714,20250720
Linda,Wolfe,27761477359,Johannesburg,184.37,0,6,20250714,20250720
Thabisile,Mdaka,27761598472,Cape Town,336.03,3,9,20250714,20250720
Monica,Evans,27761704638,Cape Town,150.45,0,10,20250714,20250720
Andile,Nowanqa,27761935085,Johannesburg,354.66,1,10,20250714,20250720
Melanie,Bell,27762338119,Durban,112.28,0,3,20250714,20250720
Heather,Thompson,27763355406,Port Elizabeth,446.71,1,9,20250714,20250720
Khanyisile,Mpumuza,27763379489,Pretoria,185.45,0,6,20250714,20250720
Joshua,Lewis,27763735255,Johannesburg,157.73,0,5,20250714,20250720
Lungile,Siyaya,27764031374,Ekurhuleni,407.36,2,6,20250714,20250720
Zenzile,Mgwaba,27764351821,Welkom,285.3,0,10,20250714,20250720
Busisiwe,Mzulwini,27764364545,Cape Town,188.33,0,9,20250714,20250720
Jill,Miah,27765030894,Ekurhuleni,286.93,0,12,20250714,20250720
Nobuhle,Mbembe,27765054595,Ekurhuleni,147.79,1,7,20250714,20250720
Mnqw,Dlamane,27765569160,East Rand,165.08,1,4,20250714,20250720
Kayleigh,Burns,27766307074,Cape Town,382.24,3,10,20250714,20250720
Alexander,Le,27766354480,Krugersdorp,233.93,1,7,20250714,20250720
Thembisile,Lukhele,27766591547,Durban,305.03,0,8,20250714,20250720
Rhys,Davies,27767240786,Cape Town,155.85,0,7,20250714,20250720
Dunw,Humphries,27767399287,Vereeniging,273.27,1,5,20250714,20250720
Mthokozisi,Myeni,27767578966,Johannesburg,110.37,0,11,20250714,20250720
Erica,Mcclain,27767632849,Ekurhuleni,262.5,1,13,20250714,20250720
Thalente,Galu,27767639036,Johannesburg,92.31,0,5,20250714,20250720
Thembile,Nkundlande,27767768686,Benoni,329.28,1,6,20250714,20250720
Mohammad,Smith,27767843485,Klerksdorp,173.1,0,8,20250714,20250720
Nonjabulo,Nhlanhlampofu,27767973262,Ekurhuleni,267.89,0,13,20250714,20250720
Jeffrey,Nguyen,27768138021,Johannesburg,170.69,0,11,20250714,20250720
Thembisile,Shelembe,27768158896,Cape Town,396.47,2,9,20250714,20250720
Jeffery,Wagner,27768741126,Johannesburg,107.21,0,8,20250714,20250720
Bhekokwakhe,Mbatha,27769031933,Johannesburg,221.77,1,8,20250714,20250720
Kirsty,May,27769640012,Port Elizabeth,254.69,0,11,20250714,20250720
Linda,Morales,27769652162,Cape Town,172.7,0,5,20250714,20250720
Nomusa,Hlomuka,27770570082,Ekurhuleni,306.88,1,9,20250714,20250720
Thando,Ndlela,27770945460,Durban,213.56,1,7,20250714,20250720
Georgia,Price,27770950073,Johannesburg,188.19,0,10,20250714,20250720
Lwandile,Mhlanga,27770953276,West Rand,288.44,0,13,20250714,20250720
Danielle,Rodriguez,27771177580,Cape Town,176.07,1,5,20250714,20250720
Mario,Smith,27771192228,Cape Town,210.19,1,7,20250714,20250720
Ndumiso,Ngidi,27771440865,Vereeniging,231.52,1,4,20250714,20250720
Kathryn,Ryan,27771477596,West Rand,362.93,1,8,20250714,20250720
Musa,Sondisa,27771583203,Cape Town,61.22,1,5,20250714,20250720
Nomthandazo,Ngema,27771918275,Durban,237.18,1,9,20250714,20250720
Shawn,Flowers,27771920365,East London,230.89,0,15,20250714,20250720
Amahle,Cwalile,27772909252,Johannesburg,116.88,1,4,20250714,20250720
Linda,Shaw,27774160565,Johannesburg,147.44,0,9,20250714,20250720
Mcebisi,Khosini,27774163254,Cape Town,106.98,1,5,20250714,20250720
Njabulo,Sikobi,27774230241,Vereeniging,267.24,0,10,20250714,20250720
Brandon,Jones,27775025294,Durban,415.48,1,8,20250714,20250720
SimphiweyiNkosi,Dlambula,27775270396,Pretoria,339.42,1,4,20250714,20250720
Silondile,Guliwe,27775448067,Cape Town,346.9,4,8,20250714,20250720
Bhekisisa,Khubisa,27775593486,Vereeniging,207.83,0,12,20250714,20250720
Thando,Mavundla,27775640687,Port Elizabeth,291.38,1,15,20250714,20250720
Amanda,Martinez,27775957924,Ekurhuleni,252.37,0,10,20250714,20250720
Sheila,Mitchell,27776010419,Johannesburg,549.93,2,10,20250714,20250720
Zenzile,Phuthini,27776328452,Uitenhage,241.19,1,5,20250714,20250720
Siyabonga,Hlatshwayo,27776715116,East London,300.3,0,12,20250714,20250720
Nomvula,Mbhodwe,27776745900,Durban,414.89,1,10,20250714,20250720
Bandile,Nkwanyana,27776874455,Pretoria,282.42,1,10,20250714,20250720
Ashley,Bond,27777008770,Ekurhuleni,431.59,2,9,20250714,20250720
Mathew,Scott,27777782468,Benoni,189.99,1,12,20250714,20250720
Wanda,Santos,27777937454,Durban,184.88,0,3,20250714,20250720
Marcus,Morris,27778478997,Ekurhuleni,457.99,2,9,20250714,20250720
Anthony,Taylor,27778724103,Johannesburg,224.51,0,8,20250714,20250720
Kart,Carter,27779152086,Johannesburg,259.89,0,15,20250714,20250720
Zenzile,Sijadu,27779234888,Durban,149.55,0,6,20250714,20250720
Bhekokwakhe,Mafobo,27779545098,Cape Town,261.68,1,5,20250714,20250720
Langalibalele,Nyambose,27779961344,Krugersdorp,366.9,1,8,20250714,20250720
Nqobizitha,Khuzwayo,27780056550,Ekurhuleni,306.04,1,8,20250714,20250720
Amahle,Mbhobho,27780348072,Cape Town,422.45,1,8,20250714,20250720
Dean,Stevens,27780470523,Durban,657.88,4,9,20250714,20250720
Thandeka,Mzila,27781102199,Johannesburg,297.92,1,5,20250714,20250720
Zenzile,Phuthini,27781238778,Bloemfontein,265.49,1,9,20250714,20250720
Vincent,Read,27781311807,Johannesburg,281.42,0,13,20250714,20250720
Zibuyile,Mathula,27782499920,Ekurhuleni,117.36,0,3,20250714,20250720
Todd,Jones,27782561720,Cape Town,212.71,0,14,20250714,20250720
Thando,Mahlalela,27782686315,Polokwane,167.22,0,10,20250714,20250720
Nobantu,Mlondo,27782940238,Boksburg,276.28,0,12,20250714,20250720
Jacqueline,Sutton,27783253285,Pretoria,359.73,1,11,20250714,20250720
John,Taylor,27783581201,Durban,102.03,0,10,20250714,20250720
Andile,Thumbela,27784301965,Soshanguve,461.38,3,7,20250714,20250720
Bhekokwakhe,Mcwaye,27785690836,Ekurhuleni,51.44,0,7,20250714,20250720
Khanyisile,Mthethwa,27786671547,Cape Town,336.25,1,6,20250714,20250720
Mlungisi,Sokhela,27786674547,Ekurhuleni,471.45,3,8,20250714,20250720
Ricky,Price,27786740905,Paarl,269.63,1,13,20250714,20250720
Kathleen,Romero,27787356407,West Rand,150.56,0,8,20250714,20250720
Londisizwe,Gcwabe,27787961134,Cape Town,335.89,1,13,20250714,20250720
Londisizwe,Gotsholo,27788255410,Polokwane,316.14,1,9,20250714,20250720
Amahle,Ndima,27788451269,Ekurhuleni,343.99,1,13,20250714,20250720
Langalibalele,Khomo,27788798367,Cape Town,85.03,0,8,20250714,20250720
Dant,Burton,27789209708,Egoli,335.73,1,9,20250714,20250720
Sihawukele,Sothole,27789600650,Ekurhuleni,148.31,0,12,20250714,20250720
Amy,Robinson,27789793342,Pietermaritzburg,315.24,0,9,20250714,20250720
Thabisile,Cebekhulu,27789810620,Ekurhuleni,380.23,0,11,20250714,20250720
Zibuyile,Ndlandla,27790022877,Vereeniging,568.3,3,6,20250714,20250720
S'fiso,Ndawonde,27790250774,East London,501.82,1,11,20250714,20250720
Lungile,Ntanzi,27790328958,Johannesburg,302.19,1,8,20250714,20250720
Nhlanhla,Nhlane,27790681902,Johannesburg,347.29,1,13,20250714,20250720
Matthew,Davis,27790732780,Pretoria,272.44,0,14,20250714,20250720
Mary,Anderson,27790781178,Durban,112.87,0,7,20250714,20250720
Dumisile,Mazwi,27790892604,Bloemfontein,457.49,1,9,20250714,20250720
Julie,Marsden,27790900159,Cape Town,505.26,0,14,20250714,20250720
Sphiwe,Mathula,27791549028,Johannesburg,176.62,0,7,20250714,20250720
Vusumuzi,Bhovungana,27791653270,Polokwane,120.49,0,4,20250714,20250720
Mandla,Dludlu,27791923440,Boksburg,103.92,0,7,20250714,20250720
Ryan,Holland,27792106918,Cape Town,137.8,0,12,20250714,20250720
Mthokozisi,Kubheka,27792273093,Soshanguve,285.58,1,10,20250714,20250720
Lucy,Wright,27792348065,Johannesburg,228.22,0,11,20250714,20250720
Nomthandazo,Dlungwana,27792624290,Botshabelo,159.66,0,5,20250714,20250720
Nhlanhla,Shandu,27792936129,Newcastle,121.62,0,8,20250714,20250720
Zibuyile,Sithuli,27793605906,Durban,100.85,0,8,20250714,20250720
Thabisile,Khuzwayo,27795199855,Durban,198.85,1,6,20250714,20250720
Nozizwe,Lange,27795246915,Pretoria,188.87,0,13,20250714,20250720
Stacey,Miller,27795728959,Johannesburg,259.49,0,11,20250714,20250720
Jennifer,Lewis,27795825108,Cape Town,147.48,0,11,20250714,20250720
Bhekisisa,Mphephethwa,27795885602,Kimberley,226.56,0,11,20250714,20250720
SimphiweyiNkosi,Mahlinza,27796004479,Nelspruit,341.5,1,11,20250714,20250720
SimphiweyiNkosi,Msani,27796205527,Johannesburg,228.4,0,8,20250714,20250720
Phillip,Johnston,27796509072,Bloemfontein,239.7,1,6,20250714,20250720
Thandazile,Fakude,27796664125,Johannesburg,284.2,1,4,20250714,20250720
Allison,Obrien,27796677912,Cape Town,110.35,0,4,20250714,20250720
Nomagugu,Ayize,27796967165,Botshabelo,275.63,0,11,20250714,20250720
Bhekokwakhe,Dwala,27797256727,Durban,213.98,0,11,20250714,20250720
Randall,Rocha,27797558478,Johannesburg,193.63,0,9,20250714,20250720
Mandla,Yei,27798062959,Witbank,278.34,1,4,20250714,20250720
Veronica,Bowman,27798290960,Egoli,267.12,1,11,20250714,20250720
Simphiwe,Mbhense,27798418621,Johannesburg,153.99,0,7,20250714,20250720
Jeffrey,Morgan,27798562157,Krugersdorp,121.48,0,9,20250714,20250720
Mthokozisi,Sishiya,27798844055,Ekurhuleni,182.53,0,4,20250714,20250720
