MSISDN;USAGE_EVENT_DATE_TIME;USAGE_EVENT_CITY_ID;USAGE_EVENT_TYPE_ID;USAGE_EVENT_TRACKING_QUANTITY;USAGE_EVENT_TRACKING_UNIT;USAGE_EVENT_BILLING_QUANTITY;USAGE_EVENT_BILLING_UNIT;USAGE_EVENT_REVENUE
+27753154430;18 07 2025 00:51;10;5;137;seconds;137;seconds;4,11
+27711513959;19 07 2025 01:35;18;5;29;seconds;29;seconds;1,16
+27753625790;15 07 2025 15:29;9;8;22;seconds;22;seconds;3,96
+27702796440;17 07 2025 00:17;21;5;284;seconds;284;seconds;8,52
+27719729993;19 07 2025 15:59;11;5;91;seconds;91;seconds;2,73
+27771583203;15 07 2025 21:14;33;8;40;seconds;40;seconds;5,2
+27786740905;18 07 2025 13:02;33;1;286;MBs;286;MBs;40,04
+27776874455;18 07 2025 06:28;14;5;126;seconds;126;seconds;5,04
+27779234888;14 07 2025 21:55;21;1;26;MBs;26;MBs;2,6
+27719729993;18 07 2025 14:06;20;5;233;seconds;233;seconds;11,65
+27758744842;15 07 2025 03:07;33;5;287;seconds;287;seconds;17,22
+27770945460;18 07 2025 13:14;21;1;268;MBs;268;MBs;32,16
+27755709632;16 07 2025 17:38;14;4;8;seconds;1;minutes;0,91
+27709050860;16 07 2025 15:18;2;8;166;seconds;166;seconds;29,88
+27799933613;16 07 2025 21:51;16;8;99;seconds;99;seconds;17,82
+27795885602;17 07 2025 03:47;31;8;77;seconds;77;seconds;14,63
+27745495609;19 07 2025 00:01;4;1;240;MBs;240;MBs;21,6
+27776010419;15 07 2025 08:12;4;1;252;MBs;252;MBs;22,68
+27789209708;18 07 2025 09:15;11;1;99;MBs;99;MBs;8,91
+27771918275;14 07 2025 23:53;19;8;197;seconds;197;seconds;31,52
+27703027009;15 07 2025 02:23;35;5;43;seconds;43;seconds;2,15
+27711688823;14 07 2025 17:45;28;5;77;seconds;77;seconds;3,85
+27709798813;18 07 2025 18:06;4;1;271;MBs;271;MBs;43,36
+27716126226;17 07 2025 07:46;24;5;120;seconds;120;seconds;6
+27743282991;18 07 2025 00:44;11;1;133;MBs;133;MBs;15,96
+27744810767;15 07 2025 09:53;15;8;199;seconds;199;seconds;29,85
+27796205527;19 07 2025 07:26;11;7;94;seconds;2;minutes;1,56
+27740407777;19 07 2025 02:55;10;8;233;seconds;233;seconds;44,27
+27744036820;15 07 2025 13:25;28;1;82;MBs;82;MBs;14,76
+27733195138;16 07 2025 00:58;34;5;127;seconds;127;seconds;6,35
+27769652162;18 07 2025 15:57;31;1;180;MBs;180;MBs;32,4
+27750688826;15 07 2025 09:14;18;2;250;MBs;250;MBs;55
+27717893653;19 07 2025 09:58;10;8;1;seconds;1;seconds;0,18
+27792273093;14 07 2025 09:46;15;5;250;seconds;250;seconds;7,5
+27718448667;18 07 2025 07:25;22;8;219;seconds;219;seconds;24,09
+27724778385;17 07 2025 06:02;8;3;208;seconds;4;minutes;4,08
+27701302724;18 07 2025 08:11;11;5;114;seconds;114;seconds;6,84
+27790732780;15 07 2025 13:43;14;8;111;seconds;111;seconds;15,54
+27759277187;14 07 2025 14:58;10;5;281;seconds;281;seconds;11,24
+27735045002;18 07 2025 18:51;18;1;238;MBs;238;MBs;33,32
+27729817935;18 07 2025 14:15;33;1;156;MBs;156;MBs;24,96
+27774230241;16 07 2025 11:10;17;2;76;MBs;76;MBs;19
+27761477359;14 07 2025 23:34;11;1;172;MBs;172;MBs;22,36
+27713677185;17 07 2025 04:07;27;8;63;seconds;63;seconds;12,6
+27734011187;16 07 2025 09:27;12;3;263;seconds;5;minutes;5,25
+27744036820;19 07 2025 02:39;6;1;171;MBs;171;MBs;27,36
+27792273093;15 07 2025 07:58;11;3;83;seconds;2;minutes;2,64
+27765030894;18 07 2025 19:53;10;5;209;seconds;209;seconds;6,27
+27793605906;15 07 2025 09:12;19;4;130;seconds;3;minutes;2,58
+27767843485;16 07 2025 05:46;29;5;95;seconds;95;seconds;3,8
+27747092401;17 07 2025 04:11;35;4;213;seconds;4;minutes;3,68
+27782686315;18 07 2025 06:17;23;1;221;MBs;221;MBs;41,99
+27767973262;15 07 2025 14:50;10;1;63;MBs;63;MBs;8,19
+27706833765;14 07 2025 08:08;13;8;165;seconds;165;seconds;19,8
+27731726871;18 07 2025 14:34;35;5;296;seconds;296;seconds;5,92
+27798062959;18 07 2025 21:25;26;4;266;seconds;5;minutes;4,2
+27739126870;19 07 2025 17:20;18;5;300;seconds;300;seconds;9
+27748419705;14 07 2025 14:47;9;1;30;MBs;30;MBs;5,4
+27749758825;18 07 2025 14:44;17;6;68;SMSs;68;SMSs;40,12
+27714185136;17 07 2025 19:20;33;8;191;seconds;191;seconds;21,01
+27730008139;14 07 2025 14:59;1;8;84;seconds;84;seconds;13,44
+27743417384;14 07 2025 07:44;33;1;294;MBs;294;MBs;23,52
+27780470523;19 07 2025 00:13;21;1;271;MBs;271;MBs;46,07
+27753154430;16 07 2025 15:28;14;8;214;seconds;214;seconds;40,66
+27776010419;14 07 2025 23:11;11;5;290;seconds;290;seconds;11,6
+27722747624;16 07 2025 16:37;10;1;33;MBs;33;MBs;6,27
+27722330476;17 07 2025 08:14;23;9;261;SMSs;261;SMSs;203,58
+27704753382;18 07 2025 16:25;2;7;120;seconds;2;minutes;1,52
+27712305098;15 07 2025 20:24;7;1;264;MBs;264;MBs;39,6
+27790022877;14 07 2025 10:41;18;5;236;seconds;236;seconds;9,44
+27750688826;14 07 2025 06:33;14;5;180;seconds;180;seconds;9
+27777937454;16 07 2025 18:56;29;1;293;MBs;293;MBs;46,88
+27765569160;17 07 2025 11:15;10;9;32;SMSs;32;SMSs;22,72
+27771920365;19 07 2025 02:44;31;5;251;seconds;251;seconds;10,04
+27719729993;15 07 2025 11:51;29;5;216;seconds;216;seconds;10,8
+27790900159;19 07 2025 20:42;33;8;230;seconds;230;seconds;34,5
+27780470523;15 07 2025 03:45;19;5;290;seconds;290;seconds;14,5
+27760632550;19 07 2025 17:13;20;8;64;seconds;64;seconds;7,04
+27735555294;19 07 2025 15:58;10;5;267;seconds;267;seconds;8,01
+27782561720;16 07 2025 21:03;32;8;61;seconds;61;seconds;11,59
+27754907568;15 07 2025 04:14;18;2;228;MBs;228;MBs;84,36
+27702088773;16 07 2025 17:09;14;9;79;SMSs;79;SMSs;57,67
+27775270396;19 07 2025 22:44;11;2;109;MBs;109;MBs;25,07
+27774160565;14 07 2025 02:10;13;5;300;seconds;300;seconds;15
+27770945460;18 07 2025 01:01;19;9;131;SMSs;131;SMSs;79,91
+27739579306;17 07 2025 11:27;16;1;126;MBs;126;MBs;21,42
+27756849299;16 07 2025 04:27;4;4;11;seconds;1;minutes;0,66
+27729448431;14 07 2025 07:08;14;1;259;MBs;259;MBs;31,08
+27723956054;16 07 2025 18:20;4;8;18;seconds;18;seconds;3,6
+27760632550;15 07 2025 22:06;19;5;278;seconds;278;seconds;16,68
+27702088773;19 07 2025 18:25;14;2;141;MBs;141;MBs;49,35
+27726147995;14 07 2025 02:05;19;5;79;seconds;79;seconds;3,95
+27718061525;15 07 2025 20:51;21;5;91;seconds;91;seconds;3,64
+27709654582;17 07 2025 12:06;35;5;72;seconds;72;seconds;3,6
+27779961344;16 07 2025 08:37;12;5;241;seconds;241;seconds;7,23
+27719015850;15 07 2025 20:59;12;1;38;MBs;38;MBs;5,32
+27780348072;17 07 2025 06:39;33;1;106;MBs;106;MBs;9,54
+27723956054;15 07 2025 17:35;31;1;224;MBs;224;MBs;33,6
+27778724103;17 07 2025 14:34;11;4;47;seconds;1;minutes;0,49
+27792348065;14 07 2025 15:19;11;1;62;MBs;62;MBs;11,78
+27716126226;18 07 2025 05:45;24;8;59;seconds;59;seconds;9,44
+27709654582;19 07 2025 18:46;31;1;81;MBs;81;MBs;8,91
+27748023717;18 07 2025 11:28;18;2;119;MBs;119;MBs;28,56
+27710091970;19 07 2025 20:20;33;2;245;MBs;245;MBs;75,95
+27713677185;15 07 2025 14:45;23;1;162;MBs;162;MBs;25,92
+27740348711;17 07 2025 12:48;19;8;172;seconds;172;seconds;30,96
+27770950073;16 07 2025 16:30;11;8;178;seconds;178;seconds;33,82
+27790250774;18 07 2025 05:39;1;6;300;SMSs;300;SMSs;192
+27797558478;16 07 2025 20:50;8;1;214;MBs;214;MBs;25,68
+27704753382;19 07 2025 12:10;2;1;226;MBs;226;MBs;45,2
+27789600650;17 07 2025 12:37;10;8;111;seconds;111;seconds;18,87
+27759277187;18 07 2025 06:27;10;5;275;seconds;275;seconds;11
+27706347171;19 07 2025 15:16;8;2;209;MBs;209;MBs;50,16
+27783253285;16 07 2025 18:00;15;7;161;seconds;3;minutes;3,12
+27781311807;16 07 2025 11:36;11;1;205;MBs;205;MBs;30,75
+27747009358;17 07 2025 08:01;35;8;105;seconds;105;seconds;16,8
+27740027276;15 07 2025 03:15;18;5;231;seconds;231;seconds;6,93
+27767843485;17 07 2025 18:05;28;1;68;MBs;68;MBs;12,24
+27715586306;15 07 2025 07:22;35;1;284;MBs;284;MBs;31,24
+27700408017;16 07 2025 20:35;2;8;104;seconds;104;seconds;19,76
+27790681902;19 07 2025 16:22;11;8;219;seconds;219;seconds;39,42
+27708208823;19 07 2025 22:58;27;5;280;seconds;280;seconds;16,8
+27788451269;15 07 2025 15:43;8;8;231;seconds;231;seconds;32,34
+27728744137;15 07 2025 13:24;33;8;237;seconds;237;seconds;33,18
+27707033903;16 07 2025 03:51;10;1;290;MBs;290;MBs;55,1
+27729603611;15 07 2025 03:31;35;8;95;seconds;95;seconds;16,15
+27788798367;18 07 2025 21:35;35;5;275;seconds;275;seconds;11
+27787961134;19 07 2025 03:31;34;7;95;seconds;2;minutes;1,56
+27763355406;15 07 2025 20:33;2;1;144;MBs;144;MBs;28,8
+27714271871;18 07 2025 15:03;31;5;200;seconds;200;seconds;8
+27739163904;18 07 2025 23:39;21;5;219;seconds;219;seconds;6,57
+27771177580;15 07 2025 11:39;21;1;118;MBs;118;MBs;10,62
+27703320064;18 07 2025 02:26;2;4;214;seconds;4;minutes;2,08
+27767240786;18 07 2025 11:29;33;7;109;seconds;2;minutes;1,64
+27775957924;15 07 2025 04:53;10;1;126;MBs;126;MBs;23,94
+27776874455;19 07 2025 10:55;14;1;37;MBs;37;MBs;5,55
+27730744349;16 07 2025 00:00;33;4;24;seconds;1;minutes;0,67
+27771920365;19 07 2025 17:08;6;5;59;seconds;59;seconds;2,36
+27703320064;18 07 2025 13:04;2;8;43;seconds;43;seconds;7,31
+27758901102;16 07 2025 18:16;11;7;294;seconds;5;minutes;5,6
+27711214656;19 07 2025 11:52;8;1;268;MBs;268;MBs;48,24
+27787356407;18 07 2025 10:46;18;1;168;MBs;168;MBs;15,12
+27727246392;15 07 2025 08:21;20;6;258;SMSs;258;SMSs;175,44
+27755830723;16 07 2025 17:16;13;5;55;seconds;55;seconds;2,2
+27780470523;14 07 2025 23:26;19;5;40;seconds;40;seconds;2
+27782561720;18 07 2025 23:17;33;8;169;seconds;169;seconds;32,11
+27706347171;14 07 2025 11:41;10;5;57;seconds;57;seconds;1,71
+27786674547;15 07 2025 10:52;10;1;81;MBs;81;MBs;9,72
+27776745900;17 07 2025 14:38;19;1;186;MBs;186;MBs;22,32
+27710816964;16 07 2025 11:07;6;7;77;seconds;2;minutes;1,86
+27793605906;15 07 2025 11:02;19;5;53;seconds;53;seconds;3,18
+27721345908;18 07 2025 12:16;33;8;219;seconds;219;seconds;24,09
+27725138892;15 07 2025 16:41;21;8;246;seconds;246;seconds;24,6
+27725138892;16 07 2025 14:40;21;5;140;seconds;140;seconds;7
+27707033903;19 07 2025 11:47;10;3;180;seconds;3;minutes;4,35
+27771920365;17 07 2025 16:46;1;5;288;seconds;288;seconds;11,52
+27739579306;14 07 2025 07:11;16;5;244;seconds;244;seconds;7,32
+27703027009;16 07 2025 11:14;35;1;76;MBs;76;MBs;10,64
+27720593040;17 07 2025 13:30;11;1;32;MBs;32;MBs;4,8
+27764031374;18 07 2025 01:51;10;8;19;seconds;19;seconds;2,47
+27723484978;16 07 2025 23:29;33;5;28;seconds;28;seconds;0,56
+27778724103;17 07 2025 16:54;11;1;28;MBs;28;MBs;3,64
+27705752990;14 07 2025 02:38;21;5;231;seconds;231;seconds;13,86
+27740348711;18 07 2025 08:44;19;1;67;MBs;67;MBs;13,4
+27729817295;19 07 2025 21:06;16;5;29;seconds;29;seconds;1,74
+27792936129;17 07 2025 19:14;12;5;71;seconds;71;seconds;2,13
+27755709632;17 07 2025 23:27;17;8;48;seconds;48;seconds;6,24
+27703678152;14 07 2025 22:10;28;1;85;MBs;85;MBs;7,65
+27709367729;18 07 2025 09:24;4;8;61;seconds;61;seconds;6,71
+27727400477;18 07 2025 00:24;14;7;9;seconds;1;minutes;1,16
+27770570082;14 07 2025 10:04;10;5;67;seconds;67;seconds;3,35
+27758622777;17 07 2025 05:47;8;9;112;SMSs;112;SMSs;78,4
+27755830723;16 07 2025 20:32;8;8;104;seconds;104;seconds;13,52
+27757293964;15 07 2025 06:03;10;1;217;MBs;217;MBs;41,23
+27720593040;17 07 2025 09:51;11;4;289;seconds;5;minutes;4,6
+27767768686;15 07 2025 21:50;10;1;280;MBs;280;MBs;47,6
+27711312486;14 07 2025 23:30;1;1;127;MBs;127;MBs;21,59
+27714005115;17 07 2025 00:25;24;1;276;MBs;276;MBs;41,4
+27727246392;15 07 2025 15:26;20;5;232;seconds;232;seconds;4,64
+27712305098;15 07 2025 15:01;4;1;51;MBs;51;MBs;7,14
+27791923440;19 07 2025 22:33;9;7;79;seconds;2;minutes;2,04
+27721198397;17 07 2025 03:08;28;5;128;seconds;128;seconds;7,68
+27727400477;14 07 2025 23:02;14;1;2;MBs;2;MBs;0,22
+27727246392;14 07 2025 20:48;21;5;198;seconds;198;seconds;5,94
+27729820192;14 07 2025 11:47;19;5;286;seconds;286;seconds;11,44
+27719015850;16 07 2025 13:52;30;5;84;seconds;84;seconds;3,36
+27728744137;17 07 2025 21:35;33;1;16;MBs;16;MBs;1,76
+27737391314;15 07 2025 22:04;30;1;271;MBs;271;MBs;32,52
+27757293964;17 07 2025 22:55;10;8;110;seconds;110;seconds;22
+27795885602;19 07 2025 05:31;31;2;272;MBs;272;MBs;70,72
+27775640687;17 07 2025 05:11;2;4;216;seconds;4;minutes;3,64
+27799698904;15 07 2025 08:16;15;5;158;seconds;158;seconds;7,9
+27717286902;19 07 2025 18:18;10;2;205;MBs;205;MBs;69,7
+27753625790;19 07 2025 21:18;9;6;117;SMSs;117;SMSs;69,03
+27725138892;17 07 2025 13:10;19;5;270;seconds;270;seconds;10,8
+27792936129;16 07 2025 01:38;35;8;147;seconds;147;seconds;24,99
+27790250774;18 07 2025 00:45;1;1;296;MBs;296;MBs;38,48
+27717893653;15 07 2025 10:28;11;3;25;seconds;1;minutes;1,03
+27709798813;19 07 2025 07:38;5;6;147;SMSs;147;SMSs;86,73
+27758773144;15 07 2025 16:46;10;5;245;seconds;245;seconds;4,9
+27718136627;17 07 2025 03:22;16;1;1;MBs;1;MBs;0,15
+27719729993;19 07 2025 04:43;23;4;11;seconds;1;minutes;0,62
+27734719249;16 07 2025 17:28;1;1;98;MBs;98;MBs;15,68
+27786674547;17 07 2025 14:05;10;6;202;SMSs;202;SMSs;113,12
+27748057905;19 07 2025 09:56;28;9;199;SMSs;199;SMSs;121,39
+27767768686;16 07 2025 08:57;8;5;133;seconds;133;seconds;3,99
+27713173581;18 07 2025 07:20;10;8;106;seconds;106;seconds;13,78
+27705781665;18 07 2025 06:31;33;8;290;seconds;290;seconds;49,3
+27722330476;19 07 2025 01:03;11;2;265;MBs;265;MBs;74,2
+27714247268;18 07 2025 20:50;12;8;187;seconds;187;seconds;37,4
+27733195138;17 07 2025 05:37;20;4;116;seconds;2;minutes;1,76
+27711513959;17 07 2025 05:49;18;3;250;seconds;5;minutes;5,6
+27737674304;17 07 2025 11:27;28;5;14;seconds;14;seconds;0,7
+27702088773;18 07 2025 10:22;14;8;200;seconds;200;seconds;20
+27724493478;14 07 2025 19:31;13;8;271;seconds;271;seconds;40,65
+27739493210;16 07 2025 04:58;35;8;123;seconds;123;seconds;19,68
+27766307074;17 07 2025 13:06;33;1;115;MBs;115;MBs;23
+27790681902;14 07 2025 01:49;11;5;58;seconds;58;seconds;2,9
+27789793342;19 07 2025 18:30;21;5;256;seconds;256;seconds;5,12
+27724493478;14 07 2025 14:05;11;3;75;seconds;2;minutes;3
+27732301840;19 07 2025 04:09;7;1;207;MBs;207;MBs;18,63
+27730744349;18 07 2025 09:46;33;1;18;MBs;18;MBs;2,88
+27765030894;19 07 2025 23:15;10;8;129;seconds;129;seconds;19,35
+27719118275;18 07 2025 01:55;11;1;211;MBs;211;MBs;31,65
+27719118275;17 07 2025 17:02;10;8;51;seconds;51;seconds;8,67
+27705781665;18 07 2025 06:56;33;5;19;seconds;19;seconds;0,95
+27739163904;15 07 2025 22:40;19;4;277;seconds;5;minutes;2,85
+27768741126;17 07 2025 23:10;15;5;39;seconds;39;seconds;1,95
+27779545098;18 07 2025 14:07;33;1;99;MBs;99;MBs;16,83
+27798290960;18 07 2025 10:16;11;7;37;seconds;1;minutes;0,71
+27779152086;16 07 2025 19:00;14;1;94;MBs;94;MBs;9,4
+27746205845;15 07 2025 02:33;9;8;73;seconds;73;seconds;10,95
+27782686315;15 07 2025 07:17;23;8;223;seconds;223;seconds;26,76
+27795246915;16 07 2025 04:19;10;7;249;seconds;5;minutes;5,15
+27755026696;15 07 2025 17:59;33;4;150;seconds;3;minutes;1,65
+27780470523;18 07 2025 12:05;21;4;217;seconds;4;minutes;3,04
+27779234888;18 07 2025 00:31;21;8;202;seconds;202;seconds;20,2
+27743417384;14 07 2025 22:11;35;5;252;seconds;252;seconds;12,6
+27718448667;18 07 2025 20:35;19;8;297;seconds;297;seconds;32,67
+27734512854;19 07 2025 18:58;21;6;287;SMSs;287;SMSs;146,37
+27702088773;19 07 2025 20:29;15;1;269;MBs;269;MBs;24,21
+27707578628;17 07 2025 16:53;19;5;252;seconds;252;seconds;7,56
+27781311807;16 07 2025 19:50;11;1;271;MBs;271;MBs;43,36
+27776715116;19 07 2025 22:57;1;2;165;MBs;165;MBs;62,7
+27757311186;15 07 2025 08:11;33;1;108;MBs;108;MBs;18,36
+27711312486;16 07 2025 16:50;2;5;64;seconds;64;seconds;3,2
+27744036820;17 07 2025 14:36;28;1;61;MBs;61;MBs;9,76
+27719961318;16 07 2025 12:48;8;7;219;seconds;4;minutes;4,12
+27744810767;18 07 2025 10:27;14;5;284;seconds;284;seconds;17,04
+27763379489;14 07 2025 18:27;15;1;124;MBs;124;MBs;16,12
+27714271871;15 07 2025 23:27;6;4;93;seconds;2;minutes;1,76
+27728781369;14 07 2025 08:01;33;1;144;MBs;144;MBs;18,72
+27740837531;19 07 2025 17:39;19;8;125;seconds;125;seconds;22,5
+27758159426;15 07 2025 07:11;18;6;250;SMSs;250;SMSs;152,5
+27775025294;18 07 2025 05:58;21;5;201;seconds;201;seconds;10,05
+27788451269;14 07 2025 04:38;8;5;247;seconds;247;seconds;7,41
+27777782468;19 07 2025 14:42;8;7;134;seconds;3;minutes;2,82
+27741562035;18 07 2025 00:50;25;1;128;MBs;128;MBs;14,08
+27726176224;17 07 2025 01:40;33;5;266;seconds;266;seconds;13,3
+27750688826;18 07 2025 23:03;14;1;129;MBs;129;MBs;25,8
+27736732237;14 07 2025 20:22;19;5;114;seconds;114;seconds;2,28
+27740678513;19 07 2025 04:02;13;6;295;SMSs;295;SMSs;153,4
+27789209708;18 07 2025 10:55;11;1;111;MBs;111;MBs;16,65
+27758901102;18 07 2025 20:09;11;8;175;seconds;175;seconds;33,25
+27729675831;16 07 2025 11:28;16;1;43;MBs;43;MBs;6,88
+27775448067;15 07 2025 14:35;33;5;22;seconds;22;seconds;0,66
+27707033903;16 07 2025 11:36;20;2;152;MBs;152;MBs;41,04
+27782686315;17 07 2025 23:02;23;5;16;seconds;16;seconds;0,8
+27735515302;14 07 2025 20:13;30;8;59;seconds;59;seconds;9,44
+27732301840;15 07 2025 06:09;7;1;130;MBs;130;MBs;14,3
+27723131974;15 07 2025 14:05;15;8;192;seconds;192;seconds;26,88
+27739163904;19 07 2025 18:40;10;1;221;MBs;221;MBs;30,94
+27704702209;16 07 2025 07:37;11;1;142;MBs;142;MBs;18,46
+27765030894;16 07 2025 12:39;10;8;290;seconds;290;seconds;46,4
+27754088048;16 07 2025 15:17;26;8;290;seconds;290;seconds;52,2
+27753625790;18 07 2025 01:09;9;1;162;MBs;162;MBs;19,44
+27798290960;15 07 2025 12:56;13;8;110;seconds;110;seconds;12,1
+27755026696;16 07 2025 14:09;11;1;263;MBs;263;MBs;31,56
+27723484978;17 07 2025 15:18;33;8;85;seconds;85;seconds;15,3
+27729733969;19 07 2025 23:29;11;1;133;MBs;133;MBs;13,3
+27708030287;17 07 2025 23:41;19;1;242;MBs;242;MBs;43,56
+27717601695;15 07 2025 09:38;14;5;2;seconds;2;seconds;0,04
+27709050860;14 07 2025 18:30;2;1;290;MBs;290;MBs;40,6
+27747092401;14 07 2025 01:05;33;1;122;MBs;122;MBs;20,74
+27753445274;15 07 2025 00:56;10;7;264;seconds;5;minutes;5,65
+27736463373;16 07 2025 05:09;19;6;167;SMSs;167;SMSs;116,9
+27776328452;17 07 2025 04:36;1;4;25;seconds;1;minutes;0,81
+27757073185;16 07 2025 07:30;14;8;243;seconds;243;seconds;36,45
+27746545449;19 07 2025 17:20;15;1;236;MBs;236;MBs;30,68
+27750688826;19 07 2025 06:14;14;8;110;seconds;110;seconds;19,8
+27790732780;16 07 2025 12:00;35;5;135;seconds;135;seconds;5,4
+27762338119;17 07 2025 01:53;19;1;197;MBs;197;MBs;17,73
+27722745553;14 07 2025 11:18;2;5;116;seconds;116;seconds;4,64
+27707578628;17 07 2025 16:52;19;5;184;seconds;184;seconds;9,2
+27722747624;14 07 2025 00:26;9;5;293;seconds;293;seconds;8,79
+27768138021;18 07 2025 05:16;9;3;86;seconds;2;minutes;1,46
+27728781369;14 07 2025 15:23;35;8;70;seconds;70;seconds;12,6
+27734580420;18 07 2025 17:49;7;8;77;seconds;77;seconds;13,86
+27741562035;16 07 2025 04:22;14;1;128;MBs;128;MBs;24,32
+27761389488;19 07 2025 22:52;35;8;36;seconds;36;seconds;4,68
+27729448431;18 07 2025 20:38;14;4;82;seconds;2;minutes;1,62
+27792273093;15 07 2025 17:42;11;1;296;MBs;296;MBs;35,52
+27786674547;17 07 2025 00:15;10;8;121;seconds;121;seconds;19,36
+27722330476;17 07 2025 22:16;4;4;192;seconds;4;minutes;2
+27749951541;15 07 2025 03:17;11;5;290;seconds;290;seconds;14,5
+27787961134;17 07 2025 18:56;33;1;259;MBs;259;MBs;46,62
+27771192228;19 07 2025 06:54;33;5;107;seconds;107;seconds;5,35
+27799314934;18 07 2025 00:56;23;8;99;seconds;99;seconds;15,84
+27709367729;17 07 2025 12:32;11;1;169;MBs;169;MBs;27,04
+27788451269;18 07 2025 02:34;10;5;270;seconds;270;seconds;8,1
+27704702209;17 07 2025 02:52;11;8;163;seconds;163;seconds;19,56
+27729619869;14 07 2025 15:46;21;5;12;seconds;12;seconds;0,24
+27703678152;19 07 2025 04:57;9;3;267;seconds;5;minutes;3,5
+27762338119;15 07 2025 11:45;21;8;150;seconds;150;seconds;18
